modifie,ae_homeMemberState,ae_lei_name,ae_lei,ae_lei_cou_code,ae_lei_name_casp,ae_lei_casp,wp_url,wp_comments,wp_lastupdate
Austrian Financial Market Authority (FMA),AT,Skygate Network GmbH,984500BBFE52FE449926,AT,,,https://www.skygatetoken.at/wp-content/uploads/2025/01/WHITEPAPER-SKYGATE-MiCAR-Version-1-18.01.25-EN-DE.pdf,,20/01/2025
Austrian Financial Market Authority (FMA),AT,DGRX Sales GmbH,984500R35C7N1E698319,AT,,,www.desertgreener.io,,09/05/2025
Austrian Financial Market Authority (FMA),Austria,ATEG Capital FlexCo,529900B1HYZ5I6QQRL52,AT,,,https://ateg-capital.com/whitepaper/,,03/10/2025
Austrian Financial Market Authority (FMA),AT,GEMx AG,529900487EHBGI16LJ92,AT,,,https://www.emgemx.com,,26/03/2025
Austrian Financial Market Authority (FMA),AT,SC Steelcoin GmbH,529900OX94239BUDFN51,AT,,,https://steelcoin.com/,,27/06/2025
Austrian Financial Market Authority (FMA),AT,VISION web 3 Stiftung,984500EDC12H0D8FF851,CH,,,http://vision.now/,,18/06/2025
Austrian Financial Market Authority (FMA),AT,ZKsync Association - Ein Verein zur Foerderung des digitalen Oekosystems ZKsync e.V.,529900SV858GPLFCQK64,AT,,,https://docs.zknation.io/legal/zk-token-mica-white-paper ,,16/10/2025
Austrian Financial Market Authority (FMA),AT,StarkWare Industries Ltd,254900OKK1G0RL5Q9B59,IL,,,https://starkware.co/,,10/10/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Abloxx Token Ltd.,,,,,https://abloxx.com/en/details,,25/03/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Falu Brick Commerce Limited,,,,,https://xyo.network/papers/mica-white-paper,,13/08/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Falu Brick Commerce Limited,,,,,xl1-mica-white-paper.pdf,,21/08/2025
Cyprus Securities and Exchange Commission (CySEC),CY,Planck Network ($PLANCK),,,,,https://plancknetwork.com/whitepaper.pdf ,,17/10/2025
